Period,Industry,Avg_Actual_Hrs_Worked
3Q 2018,"Arts, Entertainment & Recreation",40
3Q 2018,"Other Community, Social & Personal Services",67.2
3Q 2018,Others,41.8
4Q 2018,Manufacturing,42.8
4Q 2018,Construction,44.7
4Q 2018,Wholesale Trade,40.9
4Q 2018,Retail Trade,40.7
4Q 2018,Transportation & Storage,43.9
4Q 2018,Accommodation,43.5
4Q 2018,Food & Beverage Services,41.3
4Q 2018,Information & Communications,41
4Q 2018,Financial & Insurance Services,41.4
4Q 2018,Real Estate Services,40.8
4Q 2018,Professional Services,41
4Q 2018,Administrative & Support Services,41.9
4Q 2018,"Community, Social & Personal Services",52
4Q 2018,Public Administration & Defence,42.5
4Q 2018,Education,37.9
4Q 2018,Health & Social Work,39.6
4Q 2018,"Arts, Entertainment & Recreation",39.7
4Q 2018,"Other Community, Social & Personal Services",67.5
4Q 2018,Others,41
1Q 2019,Manufacturing,41.8
1Q 2019,Construction,44.3
1Q 2019,Wholesale Trade,39.4
1Q 2019,Retail Trade,40.6
1Q 2019,Transportation & Storage,43.2
1Q 2019,Accommodation,42.3
1Q 2019,Food & Beverage Services,41
1Q 2019,Information & Communications,39.7
1Q 2019,Financial & Insurance Services,40.7
1Q 2019,Real Estate Services,39.5
1Q 2019,Professional Services,39.1
1Q 2019,Administrative & Support Services,41.1
1Q 2019,"Community, Social & Personal Services",51.6
1Q 2019,Public Administration & Defence,42.1
1Q 2019,Education,37
1Q 2019,Health & Social Work,39.7
1Q 2019,"Arts, Entertainment & Recreation",38.7
1Q 2019,"Other Community, Social & Personal Services",67.2
1Q 2019,Others,39.9
2Q 2019,Manufacturing,43.1
2Q 2019,Construction,44.8
2Q 2019,Wholesale Trade,41
2Q 2019,Retail Trade,42.5
2Q 2019,Transportation & Storage,43.7
2Q 2019,Accommodation,43
2Q 2019,Food & Beverage Services,42
2Q 2019,Information & Communications,41.3
2Q 2019,Financial & Insurance Services,42
2Q 2019,Real Estate Services,40.6
2Q 2019,Professional Services,41.3
2Q 2019,Administrative & Support Services,42.1
2Q 2019,"Community, Social & Personal Services",51.9
2Q 2019,Public Administration & Defence,42.8
2Q 2019,Education,37.9
2Q 2019,Health & Social Work,39.5
2Q 2019,"Arts, Entertainment & Recreation",38.4
2Q 2019,"Other Community, Social & Personal Services",67.3
2Q 2019,Others,39.5
3Q 2019,Manufacturing,43.8
3Q 2019,Construction,45.3
3Q 2019,Wholesale Trade,41.4
3Q 2019,Retail Trade,42.8
3Q 2019,Transportation & Storage,44.5
3Q 2019,Accommodation,44.3
3Q 2019,Food & Beverage Services,42.6
3Q 2019,Information & Communications,41.8
3Q 2019,Financial & Insurance Services,42.8
3Q 2019,Real Estate Services,41.5
3Q 2019,Professional Services,42
3Q 2019,Administrative & Support Services,42.9
3Q 2019,"Community, Social & Personal Services",52.6
3Q 2019,Public Administration & Defence,43.8
3Q 2019,Education,38.7
3Q 2019,Health & Social Work,40.3
3Q 2019,"Arts, Entertainment & Recreation",39.6
3Q 2019,"Other Community, Social & Personal Services",67.7
3Q 2019,Others,41.5
4Q 2019,Manufacturing,43.3
4Q 2019,Construction,44.9
4Q 2019,Wholesale Trade,41.7
4Q 2019,Retail Trade,41.8
4Q 2019,Transportation & Storage,44.8
4Q 2019,Accommodation,44.5
4Q 2019,Food & Beverage Services,43.1
4Q 2019,Information & Communications,41.7
4Q 2019,Financial & Insurance Services,42.4
4Q 2019,Real Estate Services,41
4Q 2019,Professional Services,41.9
4Q 2019,Administrative & Support Services,42.4
4Q 2019,"Community, Social & Personal Services",52.4
4Q 2019,Public Administration & Defence,42.8
4Q 2019,Education,38.5
4Q 2019,Health & Social Work,40.3
4Q 2019,"Arts, Entertainment & Recreation",39.6
4Q 2019,"Other Community, Social & Personal Services",67.7
4Q 2019,Others,40.4
1Q 2020,Manufacturing,42.6
1Q 2020,Construction,44.4
1Q 2020,Wholesale Trade,39.9
1Q 2020,Retail Trade,40.8
1Q 2020,Transportation & Storage,44.4
1Q 2020,Accommodation,40.8
1Q 2020,Food & Beverage Services,42.7
1Q 2020,Information & Communications,40.6
1Q 2020,Financial & Insurance Services,41.8
1Q 2020,Real Estate Services,41.5
1Q 2020,Professional Services,40.5
1Q 2020,Administrative & Support Services,41.9
1Q 2020,"Community, Social & Personal Services",52.1
1Q 2020,Public Administration & Defence,42.1
1Q 2020,Education,37.9
1Q 2020,Health & Social Work,40.7
1Q 2020,"Arts, Entertainment & Recreation",38.9
1Q 2020,"Other Community, Social & Personal Services",67.3
1Q 2020,Others,40.4
2Q 2020,Manufacturing,35.2
2Q 2020,Construction,15.3
2Q 2020,Wholesale Trade,39.4
2Q 2020,Retail Trade,31.2
2Q 2020,Transportation & Storage,40.8
2Q 2020,Accommodation,38.4
2Q 2020,Food & Beverage Services,36.3
2Q 2020,Information & Communications,41.2
2Q 2020,Financial & Insurance Services,42.2
2Q 2020,Real Estate Services,39.5
2Q 2020,Professional Services,40.4
2Q 2020,Administrative & Support Services,40
2Q 2020,"Community, Social & Personal Services",50.5
2Q 2020,Public Administration & Defence,43.7
2Q 2020,Education,36.4
2Q 2020,Health & Social Work,40.1
2Q 2020,"Arts, Entertainment & Recreation",29.8
2Q 2020,"Other Community, Social & Personal Services",65.1
2Q 2020,Others,41.3
3Q 2020,Manufacturing,40.5
3Q 2020,Construction,35.4
3Q 2020,Wholesale Trade,40.9
3Q 2020,Retail Trade,40.9
3Q 2020,Transportation & Storage,42.9
3Q 2020,Accommodation,41.5
3Q 2020,Food & Beverage Services,41.4
3Q 2020,Information & Communications,41.4
3Q 2020,Financial & Insurance Services,42.5
3Q 2020,Real Estate Services,41.3
3Q 2020,Professional Services,41.2
3Q 2020,Administrative & Support Services,42.3
3Q 2020,"Community, Social & Personal Services",52.1
3Q 2020,Public Administration & Defence,43.8
3Q 2020,Education,37.7
3Q 2020,Health & Social Work,40.8
3Q 2020,"Arts, Entertainment & Recreation",37.5
3Q 2020,"Other Community, Social & Personal Services",67.4
3Q 2020,Others,41.5
4Q 2020,Manufacturing,43.2
4Q 2020,Construction,44.3
4Q 2020,Wholesale Trade,41
4Q 2020,Retail Trade,40.5
4Q 2020,Transportation & Storage,43.4
4Q 2020,Accommodation,43.3
4Q 2020,Food & Beverage Services,41.3
4Q 2020,Information & Communications,41
4Q 2020,Financial & Insurance Services,42.3
4Q 2020,Real Estate Services,41.3
4Q 2020,Professional Services,41.5
4Q 2020,Administrative & Support Services,41.7
4Q 2020,"Community, Social & Personal Services",51.7
4Q 2020,Public Administration & Defence,42.9
4Q 2020,Education,37.4
4Q 2020,Health & Social Work,40.3
4Q 2020,"Arts, Entertainment & Recreation",38.3
4Q 2020,"Other Community, Social & Personal Services",67.2
4Q 2020,Others,42.2
1Q 2021,Manufacturing,42.3
1Q 2021,Construction,43.9
1Q 2021,Wholesale Trade,40.5
1Q 2021,Retail Trade,40.9
1Q 2021,Transportation & Storage,43.5
1Q 2021,Accommodation,43.4
1Q 2021,Food & Beverage Services,41.3
1Q 2021,Information & Communications,40
1Q 2021,Financial & Insurance Services,41.2
1Q 2021,Real Estate Services,41.4
1Q 2021,Professional Services,40
1Q 2021,Administrative & Support Services,41
1Q 2021,"Community, Social & Personal Services",51.3
1Q 2021,Public Administration & Defence,42.1
1Q 2021,Education,36.9
1Q 2021,Health & Social Work,39.7
1Q 2021,"Arts, Entertainment & Recreation",38.4
1Q 2021,"Other Community, Social & Personal Services",66.9
1Q 2021,Others,41.9
2Q 2021,Manufacturing,42.8
2Q 2021,Construction,44.3
2Q 2021,Wholesale Trade,40.8
2Q 2021,Retail Trade,40.7
2Q 2021,Transportation & Storage,43.2
2Q 2021,Accommodation,42.6
2Q 2021,Food & Beverage Services,40.6
2Q 2021,Information & Communications,40.6
2Q 2021,Financial & Insurance Services,41.7
2Q 2021,Real Estate Services,42.6
2Q 2021,Professional Services,40.8
2Q 2021,Administrative & Support Services,41.2
2Q 2021,"Community, Social & Personal Services",51.3
2Q 2021,Public Administration & Defence,42.5
2Q 2021,Education,37
2Q 2021,Health & Social Work,39.8
2Q 2021,"Arts, Entertainment & Recreation",38.1
2Q 2021,"Other Community, Social & Personal Services",66.8
2Q 2021,Others,40.7
3Q 2021,Manufacturing,43.1
3Q 2021,Construction,45.2
3Q 2021,Wholesale Trade,41.4
3Q 2021,Retail Trade,41.5
3Q 2021,Transportation & Storage,43.9
3Q 2021,Accommodation,43.1
3Q 2021,Food & Beverage Services,40.7
3Q 2021,Information & Communications,41.4
3Q 2021,Financial & Insurance Services,42.7
3Q 2021,Real Estate Services,43.6
3Q 2021,Professional Services,41.7
3Q 2021,Administrative & Support Services,42
3Q 2021,"Community, Social & Personal Services",51.8
3Q 2021,Public Administration & Defence,43.2
3Q 2021,Education,38
3Q 2021,Health & Social Work,40.9
3Q 2021,"Arts, Entertainment & Recreation",39.6
3Q 2021,"Other Community, Social & Personal Services",66.8
3Q 2021,Others,42.3
4Q 2021,Manufacturing,43
4Q 2021,Construction,44.1
4Q 2021,Wholesale Trade,41.2
4Q 2021,Retail Trade,41.4
4Q 2021,Transportation & Storage,44.1
4Q 2021,Accommodation,43.1
4Q 2021,Food & Beverage Services,41.8
4Q 2021,Information & Communications,41.5
4Q 2021,Financial & Insurance Services,42.3
4Q 2021,Real Estate Services,41.9
4Q 2021,Professional Services,41.5
4Q 2021,Administrative & Support Services,41.8
4Q 2021,"Community, Social & Personal Services",51.8
4Q 2021,Public Administration & Defence,43
4Q 2021,Education,38
4Q 2021,Health & Social Work,40.7
4Q 2021,"Arts, Entertainment & Recreation",40.4
4Q 2021,"Other Community, Social & Personal Services",67.1
4Q 2021,Others,43.2
1Q 2022,Manufacturing,42.1
1Q 2022,Construction,44.2
1Q 2022,Wholesale Trade,40
1Q 2022,Retail Trade,40.6
1Q 2022,Transportation & Storage,43.1
1Q 2022,Accommodation,43.6
1Q 2022,Food & Beverage Services,41.5
1Q 2022,Information & Communications,40.4
1Q 2022,Financial & Insurance Services,41.1
1Q 2022,Real Estate Services,40.6
1Q 2022,Professional Services,40.4
1Q 2022,Administrative & Support Services,41.4
1Q 2022,"Community, Social & Personal Services",51.2
1Q 2022,Public Administration & Defence,41.4
1Q 2022,Education,37.3
1Q 2022,Health & Social Work,39.8
1Q 2022,"Arts, Entertainment & Recreation",39
1Q 2022,"Other Community, Social & Personal Services",66.9
1Q 2022,Others,40.6
2Q 2022,Manufacturing,42.1
2Q 2022,Construction,44.4
2Q 2022,Wholesale Trade,40.5
2Q 2022,Retail Trade,40.3
2Q 2022,Transportation & Storage,43.2
2Q 2022,Accommodation,43.1
2Q 2022,Food & Beverage Services,41.8
2Q 2022,Information & Communications,40.3
2Q 2022,Financial & Insurance Services,41.4
2Q 2022,Real Estate Services,42.2
2Q 2022,Professional Services,40.9
2Q 2022,Administrative & Support Services,41.6
2Q 2022,"Community, Social & Personal Services",51.3
2Q 2022,Public Administration & Defence,41.9
2Q 2022,Education,37.6
2Q 2022,Health & Social Work,39.5
2Q 2022,"Arts, Entertainment & Recreation",38.7
2Q 2022,"Other Community, Social & Personal Services",66.9
2Q 2022,Others,42.6
3Q 2022,Manufacturing,42.6
3Q 2022,Construction,44.6
3Q 2022,Wholesale Trade,40.8
3Q 2022,Retail Trade,41.2
3Q 2022,Transportation & Storage,43.8
3Q 2022,Accommodation,43.4
3Q 2022,Food & Beverage Services,42
3Q 2022,Information & Communications,41.2
3Q 2022,Financial & Insurance Services,41.9
3Q 2022,Real Estate Services,41.8
3Q 2022,Professional Services,41.1
3Q 2022,Administrative & Support Services,41.5
3Q 2022,"Community, Social & Personal Services",52
3Q 2022,Public Administration & Defence,42.7
3Q 2022,Education,38
3Q 2022,Health & Social Work,40.7
3Q 2022,"Arts, Entertainment & Recreation",39.4
3Q 2022,"Other Community, Social & Personal Services",67.1
3Q 2022,Others,42.6
4Q 2022,Manufacturing,42.9
4Q 2022,Construction,45
4Q 2022,Wholesale Trade,41
4Q 2022,Retail Trade,41.1
4Q 2022,Transportation & Storage,43.6
4Q 2022,Accommodation,43.5
4Q 2022,Food & Beverage Services,41.5
4Q 2022,Information & Communications,41.3
4Q 2022,Financial & Insurance Services,42
4Q 2022,Real Estate Services,41.7
4Q 2022,Professional Services,41
4Q 2022,Administrative & Support Services,41.3
4Q 2022,"Community, Social & Personal Services",52.1
4Q 2022,Public Administration & Defence,42.5
4Q 2022,Education,38.2
4Q 2022,Health & Social Work,41
4Q 2022,"Arts, Entertainment & Recreation",39.6
4Q 2022,"Other Community, Social & Personal Services",67.3
4Q 2022,Others,43.8
1Q 2023,Manufacturing,42
1Q 2023,Construction,44
1Q 2023,Wholesale Trade,41
1Q 2023,Retail Trade,40.6
1Q 2023,Transportation & Storage,43.1
1Q 2023,Accommodation,41.3
1Q 2023,Food & Beverage Services,41
1Q 2023,Information & Communications,41.1
1Q 2023,Financial & Insurance Services,42
1Q 2023,Real Estate Services,41.6
1Q 2023,Professional Services,40.9
1Q 2023,Administrative & Support Services,40.8
1Q 2023,"Community, Social & Personal Services",52.1
1Q 2023,Public Administration & Defence,42.6
1Q 2023,Education,38.2
1Q 2023,Health & Social Work,40.4
1Q 2023,"Arts, Entertainment & Recreation",39.3
1Q 2023,"Other Community, Social & Personal Services",67.3
1Q 2023,Others,42.5
2Q 2023,Manufacturing,42
2Q 2023,Construction,43.4
2Q 2023,Wholesale Trade,40.7
2Q 2023,Retail Trade,40.3
2Q 2023,Transportation & Storage,42.3
2Q 2023,Accommodation,41.7
2Q 2023,Food & Beverage Services,41
2Q 2023,Information & Communications,41.2
2Q 2023,Financial & Insurance Services,41.7
2Q 2023,Real Estate Services,40.9
2Q 2023,Professional Services,41
2Q 2023,Administrative & Support Services,40.3
2Q 2023,"Community, Social & Personal Services",52.1
2Q 2023,Public Administration & Defence,42.6
2Q 2023,Education,38.2
2Q 2023,Health & Social Work,40.3
2Q 2023,"Arts, Entertainment & Recreation",38.9
2Q 2023,"Other Community, Social & Personal Services",67.3
2Q 2023,Others,41.5
3Q 2023,Manufacturing,41.6
3Q 2023,Construction,43.1
3Q 2023,Wholesale Trade,39.9
3Q 2023,Retail Trade,39.6
3Q 2023,Transportation & Storage,41.7
3Q 2023,Accommodation,41.9
3Q 2023,Food & Beverage Services,40.7
3Q 2023,Information & Communications,40.6
3Q 2023,Financial & Insurance Services,40.6
3Q 2023,Real Estate Services,40.7
3Q 2023,Professional Services,40.2
3Q 2023,Administrative & Support Services,40
3Q 2023,"Community, Social & Personal Services",51.5
3Q 2023,Public Administration & Defence,41.8
3Q 2023,Education,37.4
3Q 2023,Health & Social Work,39.2
3Q 2023,"Arts, Entertainment & Recreation",38.6
3Q 2023,"Other Community, Social & Personal Services",67.2
3Q 2023,Others,39.8
4Q 2023,Manufacturing,41
4Q 2023,Construction,43.4
4Q 2023,Wholesale Trade,39.7
4Q 2023,Retail Trade,39.6
4Q 2023,Transportation & Storage,42.1
4Q 2023,Accommodation,41.2
4Q 2023,Food & Beverage Services,40.4
4Q 2023,Information & Communications,39.6
4Q 2023,Financial & Insurance Services,39.9
4Q 2023,Real Estate Services,41.8
4Q 2023,Professional Services,39.7
4Q 2023,Administrative & Support Services,40.3
4Q 2023,"Community, Social & Personal Services",51.2
4Q 2023,Public Administration & Defence,40.9
4Q 2023,Education,37.2
4Q 2023,Health & Social Work,38.7
4Q 2023,"Arts, Entertainment & Recreation",38.7
4Q 2023,"Other Community, Social & Personal Services",67
4Q 2023,Others,40.4
1Q 2024,Manufacturing,40.8
1Q 2024,Construction,42.5
1Q 2024,Wholesale Trade,39.9
1Q 2024,Retail Trade,39.6
1Q 2024,Transportation & Storage,42.1
1Q 2024,Accommodation,39.7
1Q 2024,Food & Beverage Services,39.9
1Q 2024,Information & Communications,39.4
1Q 2024,Financial & Insurance Services,39.9
1Q 2024,Real Estate Services,40.5
1Q 2024,Professional Services,39.4
1Q 2024,Administrative & Support Services,40.1
1Q 2024,"Community, Social & Personal Services",51.1
1Q 2024,Public Administration & Defence,40.9
1Q 2024,Education,36.5
1Q 2024,Health & Social Work,38.5
1Q 2024,"Arts, Entertainment & Recreation",38.8
1Q 2024,"Other Community, Social & Personal Services",67.1
1Q 2024,Others,40.2
2Q 2024,Manufacturing,40.8
2Q 2024,Construction,42.8
2Q 2024,Wholesale Trade,39.9
2Q 2024,Retail Trade,38.9
2Q 2024,Transportation & Storage,41.9
2Q 2024,Accommodation,39
2Q 2024,Food & Beverage Services,39.7
2Q 2024,Information & Communications,39.5
2Q 2024,Financial & Insurance Services,40.2
2Q 2024,Real Estate Services,39.4
2Q 2024,Professional Services,39.7
2Q 2024,Administrative & Support Services,40.4
2Q 2024,"Community, Social & Personal Services",51.2
2Q 2024,Public Administration & Defence,40.8
2Q 2024,Education,37
2Q 2024,Health & Social Work,38.5
2Q 2024,"Arts, Entertainment & Recreation",38.7
2Q 2024,"Other Community, Social & Personal Services",67.1
2Q 2024,Others,39.2
3Q 2024,Manufacturing,41.2
3Q 2024,Construction,42.8
3Q 2024,Wholesale Trade,40.1
3Q 2024,Retail Trade,39.2
3Q 2024,Transportation & Storage,42.2
3Q 2024,Accommodation,41
3Q 2024,Food & Beverage Services,39.6
3Q 2024,Information & Communications,40
3Q 2024,Financial & Insurance Services,40.5
3Q 2024,Real Estate Services,39.9
3Q 2024,Professional Services,40
3Q 2024,Administrative & Support Services,40.7
3Q 2024,"Community, Social & Personal Services",51.5
3Q 2024,Public Administration & Defence,41.3
3Q 2024,Education,37.7
3Q 2024,Health & Social Work,38.7
3Q 2024,"Arts, Entertainment & Recreation",39.5
3Q 2024,"Other Community, Social & Personal Services",67.1
3Q 2024,Others,41.5
4Q 2024,Manufacturing,41.2
4Q 2024,Construction,42.7
4Q 2024,Wholesale Trade,40.1
4Q 2024,Retail Trade,39.9
4Q 2024,Transportation & Storage,42.2
4Q 2024,Accommodation,40.6
4Q 2024,Food & Beverage Services,39.1
4Q 2024,Information & Communications,39.8
4Q 2024,Financial & Insurance Services,40.4
4Q 2024,Real Estate Services,40.2
4Q 2024,Professional Services,40.1
4Q 2024,Administrative & Support Services,40.8
4Q 2024,"Community, Social & Personal Services",51.5
4Q 2024,Public Administration & Defence,40.8
4Q 2024,Education,37.3
4Q 2024,Health & Social Work,38.9
4Q 2024,"Arts, Entertainment & Recreation",39.2
4Q 2024,"Other Community, Social & Personal Services",67.4
4Q 2024,Others,40.7
1Q 2025,Manufacturing,40.5
1Q 2025,Construction,42.1
1Q 2025,Wholesale Trade,39.1
1Q 2025,Retail Trade,39.1
1Q 2025,Transportation & Storage,41.9
1Q 2025,Accommodation,39.3
1Q 2025,Food & Beverage Services,38.9
1Q 2025,Information & Communications,39.6
1Q 2025,Financial & Insurance Services,39.9
1Q 2025,Real Estate Services,40.3
1Q 2025,Professional Services,39.5
1Q 2025,Administrative & Support Services,40.3
1Q 2025,"Community, Social & Personal Services",51.5
1Q 2025,Public Administration & Defence,40.5
1Q 2025,Education,36.9
1Q 2025,Health & Social Work,39.2
1Q 2025,"Arts, Entertainment & Recreation",38
1Q 2025,"Other Community, Social & Personal Services",67.5
1Q 2025,Others,40.3
2Q 2025,Manufacturing,41.3
2Q 2025,Construction,42.4
2Q 2025,Wholesale Trade,40.4
2Q 2025,Retail Trade,39.8
2Q 2025,Transportation & Storage,42.5
2Q 2025,Accommodation,39.9
2Q 2025,Food & Beverage Services,39.8
2Q 2025,Information & Communications,40.7
2Q 2025,Financial & Insurance Services,40.4
2Q 2025,Real Estate Services,41.5
2Q 2025,Professional Services,40.3
2Q 2025,Administrative & Support Services,40.8
2Q 2025,"Community, Social & Personal Services",51.6
2Q 2025,Public Administration & Defence,40.3
2Q 2025,Education,37.5
2Q 2025,Health & Social Work,39.4
2Q 2025,"Arts, Entertainment & Recreation",38
2Q 2025,"Other Community, Social & Personal Services",67.7
2Q 2025,Others,40.3
3Q 2025,Manufacturing,41.5
3Q 2025,Construction,42.9
3Q 2025,Wholesale Trade,40.1
3Q 2025,Retail Trade,39.9
3Q 2025,Transportation & Storage,42.5
3Q 2025,Accommodation,41.1
3Q 2025,Food & Beverage Services,40.1
3Q 2025,Information & Communications,40.6
3Q 2025,Financial & Insurance Services,40.5
3Q 2025,Real Estate Services,40.5
3Q 2025,Professional Services,39.9
3Q 2025,Administrative & Support Services,41.4
3Q 2025,"Community, Social & Personal Services",52
3Q 2025,Public Administration & Defence,41.8
3Q 2025,Education,37.7
3Q 2025,Health & Social Work,39.4
3Q 2025,"Arts, Entertainment & Recreation",37.8
3Q 2025,"Other Community, Social & Personal Services",67.7
3Q 2025,Others,42.1
